"","Date","Frontline","FIndex"
"1",2018-10-10,0,0
"2",2018-10-11,0,0
"3",2018-10-12,0,0
"4",2018-10-15,0,0
"5",2018-10-16,0,0
"6",2018-10-17,0,0
"7",2018-10-18,0,0
"8",2018-10-19,0,0
"9",2018-10-22,0,0.000141200152345551
"10",2018-10-23,0,0.00045184048750577
"11",2018-10-24,0,0
"12",2018-10-25,0,0
"13",2018-10-26,0,0
"14",2018-10-29,0,0
"15",2018-10-30,0,0
"16",2018-10-31,-0.147755673298011,0
"17",2018-11-01,0,0
"18",2018-11-02,0,0.00101039388615739
