"","Date","Akibare","AIndex"
"164",2019-04-11,0,-0.000281130103326414
"165",2019-04-12,0,1.44547138695556e-05
"166",2019-04-15,0,0
"167",2019-04-16,0,0
"168",2019-04-17,0,0
"169",2019-04-18,0,0
"170",2019-04-19,0,0
"171",2019-04-22,0,0
"172",2019-04-23,0,0
"173",2019-04-24,0,0
"174",2019-04-25,0,0
"175",2019-04-26,0,0
"176",2019-04-29,0,0
"177",2019-04-30,0,-0.000135135641691597
"178",2019-05-01,0,-0.00148016052854228
"179",2019-05-02,0,0.000206983953639875
"180",2019-05-03,0,-0.000183463991181154
"181",2019-05-06,0,0
"182",2019-05-07,0,0
"183",2019-05-08,0,0
"184",2019-05-09,0,0
"185",2019-05-10,0,0
"186",2019-05-13,0,0
"187",2019-05-14,0,0
"188",2019-05-15,0,-0.00126785130609135
"189",2019-05-16,0,0
"190",2019-05-17,0,-0.00454333336662772
"191",2019-05-20,0,-0.000634730396808295
"192",2019-05-21,0,-0.00040299762214986
"193",2019-05-22,0,-0.000375659790034702
"194",2019-05-23,0,0
"195",2019-05-24,0,-0.00152256046185576
"196",2019-05-27,0,0
"197",2019-05-28,0,0.0014375141720751
"198",2019-05-29,0,0
"199",2019-05-30,0,0
"200",2019-05-31,0,0
"201",2019-06-03,0,0
"202",2019-06-04,0,-7.00801234242253e-05
"203",2019-06-05,0,0
"204",2019-06-06,0,-0.000302509895935418
"205",2019-06-07,0,-1.40170069984136e-05
"206",2019-06-10,0,0
"207",2019-06-11,0,1.40214451630257e-05
"208",2019-06-12,0,0
"209",2019-06-13,0,0
"210",2019-06-14,0,0
"211",2019-06-17,0,-0.000137351006349764
"212",2019-06-18,0,0
"213",2019-06-19,0,0
"214",2019-06-20,0,0
"215",2019-06-21,0,0
"216",2019-06-24,0,0
"217",2019-06-25,0,0.000162796509616412
"218",2019-06-26,0,6.58230647401118e-05
"219",2019-06-27,0,0.000140208921097258
"220",2019-06-28,0,0
"221",2019-07-01,0,0.000183092298484136
"222",2019-07-02,0,0
"223",2019-07-03,0,0
"224",2019-07-04,0,0
"225",2019-07-05,0,0
"226",2019-07-08,0,0
"227",2019-07-09,0,0
"228",2019-07-10,0,0
"229",2019-07-11,0,5.61057564506039e-05
"230",2019-07-12,-0.965598404255319,0.000403301378721465
"231",2019-07-15,0,-2.00209309732891e-05
"232",2019-07-16,0,0
"233",2019-07-17,0,0
"234",2019-07-18,0,0
"235",2019-07-19,0,0
"236",2019-07-22,0,0
"237",2019-07-23,0,0
"238",2019-07-24,0,0.000487205938272342
"239",2019-07-25,0,0
"240",2019-07-26,0,-0.000120021089419997
"241",2019-07-29,0,0
"242",2019-07-30,-0.206030150753769,0
"243",2019-07-31,0,-0.000660195229160622
"244",2019-08-01,0,0
"245",2019-08-02,0,0
"246",2019-08-05,0,-2.5738884734123e-05
"247",2019-08-06,0,0
"248",2019-08-07,0,-0.0164885632995049
"249",2019-08-08,0,0
"250",2019-08-09,0,0
"251",2019-08-12,0,0
"252",2019-08-13,0,0
"253",2019-08-14,0,0
"254",2019-08-15,0,0
"255",2019-08-16,0,0
"256",2019-08-19,0,6.10658313894817e-05
"257",2019-08-20,0,0
"258",2019-08-21,0,0
"259",2019-08-22,0,0
"260",2019-08-23,0,0
"261",2019-08-26,0,0
"262",2019-08-27,0,0
