,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2017-11-30 00:00:00,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Earthquake,,Acorn Re,00485YAA7,,ACORNR,,300,2015-07-10 00:00:00,2018-07-17 00:00:00,,"US, Can, Mex",0.96,0.64,,,,,,BB,329,294.4449606895884,234.4449606895884,100.21,100.58,Occurrence
6,,,Golden State Re II,38123FAA6,,GOLDST,,250,2014-09-11 00:00:00,2019-01-08 00:00:00,,CA,0.49,0.25,,,,BB+,,,220,210,169.5,100.11,100.55,Occurrence
7,,,Kilimanjaro Re 2014-2 C,494074AE7,,KILIREL,,500,2014-11-18 00:00:00,2019-11-25 00:00:00,,"US, Canada",2.26,1.46,,,,BB-,,,375,325,302.5,100.95,101.38,Occurrence
8,,,Merna Re 2015-1,59012UAA3,,MERNA,,300,2015-03-31 00:00:00,2018-04-09 00:00:00,,New Madrid,0.56,0.41,,,,,,,200,250,157.60000000000002,99.83,100.15,Occurrence
9,,,Merna Re 2016-1,59012UAB1,,MERNA,,300,2016-03-31 00:00:00,2019-04-08 00:00:00,,New Madrid,0.56,0.41,,,,,,,225,213.31680991735047,180.31680991735047,100.15,100.59,Occurrence
10,,,Merna Re 2017-1,59012UAC9,,MERNA,,300,2017-03-31 00:00:00,2020-04-08 00:00:00,,New Madrid,0.59,0.43,,,,,,,200,205,185.5,99.89,100.33,Occurrence
11,,,Torrey Pines 2017-1 A,89141WAA0,,TORPNE,,45,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,1.14,0.89,,,,,,,300,307.46986007744243,292.46986007744243,99.82,100.18,Occurrence
12,,,Torrey Pines 2017-1 B,89141WAB8,,TORPNE,,66,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,1.94,1.49,,,,,,,375,373,354.99999999999994,100.05,100.48,Occurrence
13,,,Ursa Re 2014-1 A,90323WAA8,,URSARE,,200,2014-12-01 00:00:00,2017-12-07 00:00:00,,CA,1.27,1.18,,,,,,,350,350.00000000000006,127.99999999999999,100,100.01,Aggregate
14,,,Ursa Re 2014-1 B,90323WAB6,,URSARE,,200,2014-12-01 00:00:00,2017-12-07 00:00:00,,CA,2.81,2.55,,,,,,,500,500,265,100,100.01,Aggregate
