,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2019-08-30 00:00:00,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Americas Earthquake,,Acorn Re 2018-1,00485YAB5,,ACORNR,,400,2018-07-10 00:00:00,2021-11-10 00:00:00,,"US, Can, Mex",1.05,0.8,,,,,,,275,327.83158850731996,309.71602126922465,98.9,99.27,Occurrence
6,,,Cal Phoenix 2018-1,12482PAA4,,CALPHO,,200,2018-08-02 00:00:00,2021-08-13 00:00:00,,CA,1.35,1.01,,,,,,,750,37816.19900682176,13627.347418071657,2,12,Aggregate
7,,,CAR 116,XS1761694949,,IBRD,,500,2018-02-07 00:00:00,2021-02-15 00:00:00,,Chile,1.35,0.86,,,,,,,250,285.816135978875,248.35203017801118,99.49,100.02,Occurrence
8,,,CAR 117,XS1761702718,,IBRD,,400,2018-02-07 00:00:00,2021-02-15 00:00:00,,Colombia,2.78,1.56,,,,,,,300,337.6789851307017,305.4892704640356,99.47,99.92,Occurrence
9,,,CAR 118 Class A,XS1761706388,,IBRD,,160,2018-02-07 00:00:00,2020-02-14 00:00:00,,Mexico,1.09,0.79,,,,,,,250,308.08690245116213,227.63090245116774,99.74,100.1,Occurrence
10,,,CAR 119 Class B,XS1761706891,,IBRD,,100,2018-02-07 00:00:00,2020-02-14 00:00:00,,Mexico,8.25,6.54,,,,,,,825,902.5091343241047,808.3367914669545,99.66,100.07,Occurrence
11,,,CAR 120,XS1761714721,,IBRD,,140,2018-02-07 00:00:00,2021-02-15 00:00:00,,Peru,7.14,5,,,,,,,600,640.8383607101325,611.3640326953245,99.44,99.84,Occurrence
12,,,Golden State Re II 2018-1,38123FAB4,,GOLDST,,210,2018-12-03 00:00:00,2023-01-08 00:00:00,,CA,0.49,0.14,,,,,,,220,226.1308250584826,214.21300535616538,99.81,100.18,Occurrence
13,,,Kilimanjaro Re 2014-2 C,494074AE7,,KILIREL,,500,2014-11-18 00:00:00,2019-11-25 00:00:00,,"US, Canada",2.26,1.46,,,,BB-,,,375,582.1169480232435,446.76949210627123,99.53,99.84,Occurrence
14,,,Merna Re 2017-1,59012UAC9,,MERNA,,300,2017-03-31 00:00:00,2020-04-08 00:00:00,,New Madrid,0.59,0.43,,,,,,,200,267.7186430041974,210.17623814019495,99.6,99.94,Occurrence
15,,,Merna Re 2018-1,59012UAD7,,MERNA,,300,2018-03-29 00:00:00,2021-04-08 00:00:00,,New Madrid,0.74,0.52,,,,,,,200,229.9572192513366,198.58139067673247,99.53,100.02,Occurrence
16,,,Merna Re II 2019-1 ,59013MAA0,,MERNA R,2000-10-26,300,2019-03-29 00:00:00,2022-04-07 00:00:00,,New Madrid,0.75,0.54,,,,,,,200,212.07513812154662,193.69185057869063,99.7,100.16,Occurrence
17,,,SD Re Ltd. 2018-1,78414BAA9,,SDRELT,,125,2018-10-12 00:00:00,2021-10-19 00:00:00,,CA,0.21,0.21,,,,,,,400,694.8510588309395,594.536881870065,94.24,96.16,Aggregate
18,,,Torrey Pines 2017-1 A,89141WAA0,,TORPNE,,45,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,1.17,1.1,,,,,,,303,485,441.74699310042223,98.63,98.96,Occurrence
19,,,Torrey Pines 2017-1 B,89141WAB8,,TORPNE,,66,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,2.31,1.82,,,,,,,380,525,477.5747025454541,98.91,99.27,Occurrence
20,,,Ursa Re 2016-1 A,90323WAD2,,URSARE,,500,2016-11-30 00:00:00,2019-12-10 00:00:00,,CA,2.36,2.18,,,,,,,400,629.2601443858464,510.1382340817873,99.4,99.71,Aggregate
21,,,Ursa Re 2017-1 B,90323WAE0,,URSARE,,425,2017-05-16 00:00:00,2020-05-27 00:00:00,,CA,1.17,1.11,,,,,,,350,482.741727392887,437.8530557879468,99.06,99.38,Aggregate
22,,,Ursa Re 2017-1 E,90323WAF7,,URSARE,,500,2017-05-16 00:00:00,2020-05-27 00:00:00,,CA,3.67,3.33,,,,,,,600,709.9999999999999,634.0013567175085,99.22,99.75,Aggregate
23,,,Ursa Re 2017-2 C,90323WAG5,,URSARE,,200,2017-11-30 00:00:00,2020-12-10 00:00:00,,CA,1.39,1.32,,,,,,,400,495,464.99460666666647,98.84,99.21,Aggregate
24,,,Ursa Re 2017-2 D,90323WAH3,,URSARE,,200,2017-11-30 00:00:00,2020-12-10 00:00:00,,CA,3.04,2.79,,,,,,,525,653.4587114093953,622.9975162442838,98.45,98.82,Aggregate
25,,,Ursa Re 2018-1 D,90323WAJ9,,URSARE,,250,2018-09-14 00:00:00,2021-09-24 00:00:00,,CA,3.23,2.99,,,,,,,524,653.4587114093953,628.9397052948698,97.55,98.01,Aggregate
26,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,US Wind,,Alamo Re 2017-1 A,011395AD2,,ALALTD,,400,2017-05-30 00:00:00,2020-06-08 00:00:00,,TX,2.61,1.75,2.87,1.92,,,,,381,362.88914739530526,309.94071082387495,100.13,100.53,Aggregate
29,,,Alamo Re 2018-1 A,011395AE0,,ALALTD,,400,2018-05-30 00:00:00,2021-06-07 00:00:00,,TX,2.67,1.8,2.93,1.97,,,,,348,418.4977160389906,393.8977160389906,98.81,99.23,Aggregate
30,,,Alamo Re 2019-1 A,011395AF7,,ALALTD,,200,2019-05-28 00:00:00,2022-06-08 00:00:00,,TX,2.66,1.8,2.92,1.97,,,,,450,440.2336542434303,419.2336542434303,100.25,100.79,Aggregate
31,,,CAR 114 Class B,XS1654183364,,IBRD,,100,2017-08-04 00:00:00,2019-12-20 00:00:00,,"Mex, TX",7.97,5.56,8.29,5.77,,,,,930,2041.5058009725137,1923.2871343058475,96.85,97.18,Occurrence
32,,,CAR 115 Class C,XS1654184099,,IBRD,,110,2017-08-04 00:00:00,2019-12-20 00:00:00,,Mex,5.8,3.96,,,,,,,590,1383.4893506057533,1275.881350605752,97.73,98.03,Occurrence
33,,,Casablanca Re 2017-1 A,XS1611031524,,CASARE,,66.95,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,1.27,1.03,1.48,1.2,,,,,402,434.620121438017,374.42012143801674,99.76,100.2,Occurrence
34,,,Casablanca Re 2017-1 B,XS1611032761,,CASARE,,26.3,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,1.81,1.38,2.08,1.6,,,,,486,508.8688005612697,460.61880056127336,99.83,100.19,Occurrence
35,,,Casablanca Re 2017-1 C,XS1611032928,,CASARE,,2.14,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,18.51,9.42,20.17,10.43,,,,,1549,,,15,25,Occurrence
36,,,Citrus Re 2015-1 B,177510AD6,,CITREL,,60.91,2015-04-08 00:00:00,2020-04-09 00:00:00,,US,4.05,2.6,4.57,2.98,,,,,50,68.04228433339537,10,25,35,Occurrence
37,,,Citrus Re 2016-1 D,177510AF1,,CITREL,,97.06,2016-02-24 00:00:00,2021-02-25 00:00:00,,US,4.56,3.24,5.12,3.67,,,,,785,-101033.08939192732,334,30,40,Occurrence
38,,,Citrus Re 2017-1 A,177510AH7,,CITREL,,53.13,2017-03-13 00:00:00,2020-03-18 00:00:00,,US,2.25,1.99,2.55,2.5,,,,,531,67734.18608511779,41746.72772827646,10,20,Occurrence
39,,,Citrus Re 2017-2 B,177510AJ3,,CITREL,,0,2017-05-11 00:00:00,2020-03-18 00:00:00,,US,7.34,6.6,8.15,7.34,,,,,50,,,0,0,Occurrence
40,,,Cranberry Re 2017-1 A,224287AB8,,CBRYRE,,350,2017-06-12 00:00:00,2020-07-13 00:00:00,,MA,0.51,0.44,0.509,0.442,,,,,198,221.04913696526864,180.05276184160806,99.8,100.15,Aggregate
41,,,Everglades Re II 2017,30014LAB0,,EVERGL,,300,2017-05-09 00:00:00,2020-05-08 00:00:00,,FL,2.78,2.04,2.95,2.24,,,,,523,3623.27900849737,2858.718628629413,82,86,Aggregate
42,,,Everglades Re II 2018,30014LAC8,,EVERGL,,250,2018-05-15 00:00:00,2021-05-04 00:00:00,,FL,2.56,1.93,2.97,2.26,,,,,475,1912.590558195956,1515.971349818807,80,85,Aggregate
43,,,Floodsmart Re 2018-1 A,33975CAA3,,FLOREL,,325,2018-07-30 00:00:00,2021-08-06 00:00:00,,US,6.04,4.94,,5.29,,,,,1125,1947.5256961440764,1426.1941171798285,87,95,Occurrence
44,,,Floodsmart Re 2018-1 B,33975CAB1,,FLOREL,,175,2018-07-30 00:00:00,2021-08-06 00:00:00,,US,9.68,6.32,,6.8,,,,,1350,2333.54980255023,1786.0158510876997,85,93,Occurrence
45,,,Floodsmart Re 2019-1 A,33975CAC9,,FLOREL,,250,2019-04-16 00:00:00,2022-03-07 00:00:00,,US,4.93,4.15,,4.48,,,,,1125,1891.5007711344451,1465.1517567974324,85,93,Occurrence
46,,,Floodsmart Re 2019-1 B,33975CAD7,,FLOREL,,50,2019-04-16 00:00:00,2022-03-07 00:00:00,,US,7.31,6.01,,6.51,,,,,1450,2368.3171401704667,1910.8220984189795,83,91,Occurrence
