,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2020-06-30 00:00:00,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Americas Earthquake,,Acorn Re 2018-1,00485YAB5,,ACORNR,,400,2018-07-10 00:00:00,2021-11-10 00:00:00,,"US, Can, Mex",1.05,0.8,,,,,,,275,347.2986242925724,321.18305705447705,99.05,99.39,Occurrence
6,,,Cal Phoenix 2018-1,12482PAA4,,CALPHO,,200,2018-08-02 00:00:00,2021-08-13 00:00:00,,CA,1.35,1.01,,,,,,,750,37816.19900682176,13616.347418071655,2,12,Aggregate
7,,,CAR 116,XS1761694949,,IBRD,,500,2018-02-07 00:00:00,2021-02-15 00:00:00,,Chile,1.35,0.86,,,,,,,250,719.9715986887092,469.65949289193077,97.17,98.66,Occurrence
8,,,CAR 117,XS1761702718,,IBRD,,400,2018-02-07 00:00:00,2021-02-15 00:00:00,,Colombia,2.78,1.56,,,,,,,300,771.1200674298078,520.4756892946375,97.17,98.66,Occurrence
9,,,CAR 120,XS1761714721,,IBRD,,140,2018-02-07 00:00:00,2021-02-15 00:00:00,,Peru,7.14,5,,,,,,,600,640.8383607101325,569.3193049872872,99.75,100.19,Occurrence
10,,,CAR 125,XS2127855125,,IBRD,,175,2020-03-06 00:00:00,2024-03-13 00:00:00,,Mexico,1.17,0.9,,,,,,,350,450.1651016245389,392.8032063760398,96.72,98.58,Occurrence
11,,,CAR 126,XS2127855398,,IBRD,,60,2020-03-06 00:00:00,2024-03-13 00:00:00,,Mexico,8.3,5.78,,,,,,,900,1000,983.5256719851919,97.04,97.52,Occurrence
12,,,Golden State Re II 2018-1,38123FAB4,,GOLDST,,210,2018-12-03 00:00:00,2023-01-08 00:00:00,,CA,0.49,0.14,,,,,,,220,293.5680482501116,271.8030783130235,98.26,98.77,Occurrence
13,,,Merna Re 2018-1,59012UAD7,,MERNA,,300,2018-03-29 00:00:00,2021-04-08 00:00:00,,New Madrid,0.74,0.52,,,,,,,200,315.56334841627876,249.92934384975987,99.13,99.62,Occurrence
14,,,Merna Re II 2019-1,59013MAA0,,MERNAR,2000-10-26 00:00:00,300,2019-03-29 00:00:00,2022-04-07 00:00:00,,New Madrid,0.75,0.54,,,,,,,200,285,255.022679753932,98.56,99.07,Occurrence
15,,,Merna Re II 2020-1,59013MAB8,,MERNAR,,250,2020-05-29 00:00:00,2023-04-07 00:00:00,,New Madrid,0.76,0.54,,,,,,,275,275,239,100,100.94,Occurrence
16,,,SD Re Ltd. 2018-1,78414BAA9,,SDRELT,,125,2018-10-12 00:00:00,2021-10-19 00:00:00,,CA,0.21,0.21,,,,,,,400,851.9095905837216,772.3338774656884,94.51,95.45,Aggregate
17,,,Sierra 2019-1 A,826359AA9,,SIERLT,,150,2020-01-09 00:00:00,2022-12-28 00:00:00,,US EQ,1.74,0.78,,,,,,,325,360.1256447365215,322.9324002920624,99.18,100.05,Occurrence
18,,,Sierra 2019-1 B,826359AB7,,SIERLT,,75,2020-01-09 00:00:00,2022-12-28 00:00:00,,US EQ,3.97,2.64,,,,,,,575,662.093097853971,577.4251197118946,98.04,99.94,Occurrence
19,,,Sutter Re 2020-1 A,86944RAA6,,SUTTRE,,200,2020-05-15 00:00:00,2023-05-23 00:00:00,,CA,1.28,1.21,,,,,,,500,500,464.00000000000006,99.99,100.94,Aggregate
20,,,Sutter Re 2020-1 F,86944RAB4,,SUTTRE,,135,2020-05-15 00:00:00,2023-05-23 00:00:00,,CA,4.03,3.69,,,,,,,850,821.3613121764506,785.3613121764505,100.7,101.6,Aggregate
21,,,Sutter Re 2020-2 A,86944RAC2,,SUTTRE,,215,2020-05-28 00:00:00,2022-06-06 00:00:00,,CA,1.28,1.21,,,,,,,500,500,459.00000000000006,99.99,100.74,Aggregate
22,,,Sutter Re 2020-2 F,86944RAD0,,SUTTRE,,150,2020-05-28 00:00:00,2022-06-06 00:00:00,,CA,4.03,3.69,,,,,,,850,820,779,100.51,101.23,Aggregate
23,,,Ursa Re 2017-2 C,90323WAG5,,URSARE,,200,2017-11-30 00:00:00,2020-12-10 00:00:00,,CA,1.46,1.39,,,,,,,408,711.2101460774691,537.4619698107988,98.71,99.44,Aggregate
24,,,Ursa Re 2017-2 D,90323WAH3,,URSARE,,200,2017-11-30 00:00:00,2020-12-10 00:00:00,,CA,3.14,2.89,,,,,,,537,815,637.6236422979293,98.82,99.57,Aggregate
25,,,Ursa Re 2018-1 D,90323WAJ9,,URSARE,,250,2018-09-14 00:00:00,2021-09-24 00:00:00,,CA,3.23,2.99,,,,,,,524,772.5975811613342,658.9013464021772,97.13,98.43,Aggregate
26,,,Ursa Re 2019-1 C,90323WAK6,00:00:00,URSARE,00:00:00,400,2019-11-26 00:00:00,2022-12-10 00:00:00,0.0,CA,2.25,2.11,,,,,,,575,690.3276687432085,620.9056895276253,97.47,98.98,Aggregate
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Alamo Re 2018-1 A,011395AE0,,ALALTD,,400,2018-05-30 00:00:00,2021-06-07 00:00:00,,TX,2.67,1.8,2.93,1.97,,,,,348,607.5725204099361,511.6180512741339,97.69,98.53,Aggregate
30,,,Alamo Re 2019-1 A,011395AF7,,ALALTD,,200,2019-05-28 00:00:00,2022-06-08 00:00:00,,TX,2.66,1.8,2.92,1.97,,,,,450,513.4734268866583,461.17342688665826,98.85,99.8,Aggregate
31,,,Alamo Re II 2020-1 A,011396AA6,,ALAMRE,,400,2020-06-09 00:00:00,2023-06-08 00:00:00,,TX,2.65,1.78,2.91,1.95,,,,,575,552.0518487076978,516.0518487076978,100.6,101.55,Aggregate
32,,,Blue Halo Re 2020-1 A,095538AD6,,BLUHLO,,150,2020-06-19 00:00:00,2023-06-06 00:00:00,,US,4.96,4.41,5.71,5.06,,,,,1325,1327.1051773361844,1291.1051773361846,99.93,100.78,Aggregate
33,,,Blue Halo Re 2020-1 B,095538AE4,,BLUHLO,,25,2020-06-19 00:00:00,2021-06-30 00:00:00,,US,7.36,5.55,9.2,6,,,,,1600,1607.1648676028328,1552.1648676028326,99.91,100.4,Agg / Occ
34,,,CAR 127,XS2127855638,,IBRD,,125,2020-03-06 00:00:00,2024-03-13 00:00:00,,Mexico Atlantic,7.99,5.61,8.29,5.79,,,,,1000,1078.8375862439882,1062.9042529106537,97.7,98.15,Occurrence
35,,,CAR 128,XS2127856016,,IBRD,,125,2020-03-06 00:00:00,2024-03-13 00:00:00,,Mexico Pacific,6.23,4.06,0,0,,,,,650,732.3258521724821,702.2221484687785,97.44,98.37,Occurrence
36,,,Casablanca Re 2017-1 C,XS1611032928,,CASARE,,1.69,2017-06-01 00:00:00,2023-06-04 00:00:00,,FL,18.51,9.42,20.17,10.43,,,,,1549,,,15,25,Occurrence
37,,,Catahoula Re 2020-1 A,148802AA9,,CTHPTE,,60,2020-05-11 00:00:00,2023-05-09 00:00:00,,LA,1.1,0.91,1.22,1.01,,,,,350,356.4795893257687,320.4795893257687,99.83,100.78,Occurrence
38,,,Citrus Re 2016-1 D,177510AF1,,CITREL,,61.3,2016-02-24 00:00:00,2021-02-25 00:00:00,,US,4.56,3.24,5.12,3.67,,,,,785,,,20,30,Occurrence
39,,,Citrus Re 2017-1 A,177510AH7,,CITREL,,31.676,2017-03-13 00:00:00,2023-03-20 00:00:00,,US,2.25,1.99,2.55,2.5,,,,,531,,,10,20,Occurrence
40,,,Cranberry Re 2017-1 A,224287AB8,,CBRYRE,,350,2017-06-12 00:00:00,2020-07-13 00:00:00,,MA,0.507,0.44,0.535,0.469,,,,,198,800,160,99.88,100.01,Aggregate
41,,,Everglades Re II 2018,30014LAC8,,EVERGL,,250,2018-05-15 00:00:00,2021-05-04 00:00:00,,FL,2.78,2.05,3.22,2.38,,,,,505,783.9380421318252,678.0857072718949,97.77,98.61,Aggregate
42,,,Everglades Re II 2020-2 A,30014LAE4,,EVERGL,,110,2020-05-28 00:00:00,2023-05-04 00:00:00,,FL,1.22,1.5,1.42,1.79,,,,,625,633.5843881267142,597.5843881267142,99.77,100.69,Aggregate
43,,,Floodsmart Re 2018-1 A,33975CAA3,,FLOREL,,325,2018-07-30 00:00:00,2021-08-06 00:00:00,,US,6.04,4.94,,5.29,,,,,1125,1446.556460238039,1344.1732350576506,96.79,97.8,Occurrence
44,,,Floodsmart Re 2018-1 B,33975CAB1,,FLOREL,,175,2018-07-30 00:00:00,2021-08-06 00:00:00,,US,9.68,6.32,,6.8,,,,,1350,1681.025380523129,1548.8875101611984,96.74,98.02,Occurrence
45,,,Floodsmart Re 2019-1 A,33975CAC9,,FLOREL,,250,2019-04-16 00:00:00,2022-03-07 00:00:00,,US,4.93,4.15,,4.48,,,,,1125,1486.4324546514758,1414.410382091574,94.72,95.74,Occurrence
46,,,Floodsmart Re 2019-1 B,33975CAD7,,FLOREL,,50,2019-04-16 00:00:00,2022-03-07 00:00:00,,US,7.31,6.01,,6.51,,,,,1450,1822.1853014569772,1725.1441055262403,94.71,96.06,Occurrence
47,,,Floodsmart Re 2020-1 A,33975CAE5,,FLOREL,,300,2020-02-20 00:00:00,2023-02-27 00:00:00,,US,4.25,3.91,,4.22,0.0,,,,1100,1333.654617739832,1268.5637445759144,94.9,96.29,Occurrence
48,,,Floodsmart Re 2020-1 B,33975CAF2,,FLOREL,,100,2020-02-20 00:00:00,2023-02-27 00:00:00,,US,7.52,5.68,,6.14,0.0,,,,1450,1666.400000665883,1597.9887057470798,95.47,96.88,Occurrence
49,,,Frontline Re 2018-1 A,35922QAA1,,FRNTRE,,250,2018-06-26 00:00:00,2022-07-06 00:00:00,,"AL, FL, NC, SC",6.84,4.53,6.46,4.28,,,,,774,5304.252528415299,4825.114251140934,46.63,50.27,Occurrence
50,,,Frontline Re 2018-1 B,35922QAB9,,FRNTRE,,100,2018-06-26 00:00:00,2022-07-06 00:00:00,,"AL, FL, NC, SC",11.11,8.67,10.55,8.21,,,,,1245,,,5,10,Occurrence
51,,,Integrity Re 2018-1 A,45869RAA3,,INTEGR,,75,2018-04-23 00:00:00,2022-06-10 00:00:00,,FL,1.61,1.44,1.81,1.63,,,,,405,668.5824716160332,620.6704263276226,95.27,96.11,Occurrence
52,,,Integrity Re 2018-1 B,45869RAB1,,INTEGR,,4,2018-04-23 00:00:00,2022-06-10 00:00:00,,FL,8.92,5.42,9.84,6.03,,,,,918,1326.320921934233,1282.2905537839622,93.13,93.84,Occurrence
53,,,Integrity Re 2019-1 A,45833UAE1,,INTEGR,,50,2019-05-29 00:00:00,2023-06-12 00:00:00,,FL,1.28,1.14,1.47,1.3,,,,,475,636.7073429214327,605.2489948779496,95.76,96.57,Occurrence
54,,,Integrity Re II 2020-1 A,45833EAA5,,INTEGR,,150,2020-03-24 00:00:00,2023-04-12 00:00:00,,FL,4.1,1.98,4.84,2.25,,,,,725,759.3285089743578,739.6381089743547,99.16,99.64,Occurrence
55,,,Manatee Re II 2018-1 A,562012AA2,,MANARE,,160,2018-04-03 00:00:00,2021-06-07 00:00:00,,"FL, LA, & TX",2.61,1.16,3.04,1.37,,,,,439,723.5497443478804,628.6071222583377,97.47,98.31,Occurrence
56,,,Manatee Re II 2018-1 B,562012AB0,,MANARE,,40,2018-04-03 00:00:00,2021-06-07 00:00:00,,"FL, LA, & TX",7.41,4.46,8.23,5.05,,,,,834,1186.352924705944,1132.2100383138104,96.95,97.41,Occurrence
57,,,Manatee Re III 2019-1 A,562011AA4,,MANARE,,20,2019-05-30 00:00:00,2022-06-07 00:00:00,,"FL, LA, & TX",2.22,1.15,2.6,1.34,,,,,525,669.860823811488,635.3640087788831,97.43,98.03,Occurrence
58,,,Manatee Re III 2019-1 B,562011AB2,,MANARE,,20,2019-05-30 00:00:00,2022-06-07 00:00:00,,"FL, LA, & TX",7.56,4.23,8.39,4.8,,,,,950,1099.8758199480312,1059.1978988546848,97.44,98.13,Occurrence
59,,,Matterhorn Re 2019-1 A,577092AA7,,MATTRE,,250,2019-06-19 00:00:00,2020-12-07 00:00:00,,Northeast US,4.72,3.81,5,4.03,,,,,0,1143.7243636937321,1002.2015037410184,95.3,95.86,Occurrence
