,Date,SP500_Close_Price,SP500_Dividends,SP500_Prc_Appr,SP500_Total_Return,SP500_Period_Appr,SP500_Quarterly_Return,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,2020-12-31,3756.07,14.50082,9.62838,19.39858,0.116881,0.121439,,"Source:
- Bloomberg Terminal - SPX Total Return Analysis (02.05.2021)",,,
1,2020-09-30,3363.0,13.96921,8.51613,17.18965,0.084737,0.089293,,,,,
2,2020-06-30,3100.29,14.34458,7.77275,15.69858,0.199529,0.205435,,,,,
3,2020-03-31,2584.59,15.16374,6.3135,12.85275,-0.200011,-0.196019,,,,,
4,2019-12-31,3230.78,15.003,8.14199,16.23019,0.085342,0.090627,,,,,
5,2019-09-30,2976.74,14.79013,7.42315,14.79842,0.011891,0.016984,,,,,
6,2019-06-30,2941.76,14.24292,7.32417,14.53458,0.037878,0.043038,,,,,
7,2019-03-31,2834.4,13.98295,7.02037,13.89359,0.130662,0.136479,,,,,
8,2018-12-31,2506.85,14.06164,6.09352,12.10504,-0.139716,-0.135242,,,,,
9,2018-09-30,2913.98,13.65249,7.24556,14.15456,0.071959,0.077107,,,,,
10,2018-06-30,2718.37,13.09625,6.69205,13.06969,0.029346,0.034333,,,,,
11,2018-03-31,2640.87,12.72763,6.47275,12.60267,-0.012246,-0.007613,,,,,
12,2017-12-31,2673.61,12.59459,6.56539,12.70702,0.061226,0.066372,,,,,
13,2017-09-30,2519.36,12.31081,6.12892,11.85387,0.039593,0.044803,,,,,
14,2017-06-30,2423.41,12.11523,5.85741,11.30267,0.025686,0.030881,,,,,
15,2017-03-31,2362.72,11.72317,5.68568,10.93413,0.055337,0.06066,,,,,
16,2016-12-31,2238.83,11.87194,5.33512,10.2516,0.032542,0.038175,,,,,
17,2016-09-30,2168.27,11.357,5.13546,9.83787,0.03307,0.038518,,,,,
18,2016-06-30,2098.86,11.27948,4.93905,9.4359,0.018993,0.024555,,,,,
19,2016-03-31,2059.74,11.04111,4.82835,9.18579,0.00773,0.013476,,,,,
20,2015-12-31,2043.94,11.16049,4.78364,9.05035,0.064535,0.070327,,,,,
21,2015-09-30,1920.03,10.79086,4.43302,8.38998,-0.069352,-0.064382,,,,,
22,2015-06-30,2063.11,10.69648,4.83789,9.03613,-0.002312,0.002779,,,,,
23,2015-03-31,2067.89,10.55284,4.85141,9.00831,0.004366,0.009508,,,,,
24,2014-12-31,2058.9,10.33398,4.82598,8.91404,0.043913,0.049252,,,,,
25,2014-09-30,1972.29,10.01168,4.5809,8.44868,0.006152,0.011277,,,,,
