,Date,SP500_Close_Price,SP500_Dividends,SP500_Prc_Appr,SP500_Total_Return,SP500_Period_Appr,SP500_Quarterly_Return,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
26,2014-06-30,1960.23,9.74587,4.54677,8.34331,0.046941,0.052328,,,,,
27,2014-03-31,1872.34,9.17631,4.29808,7.87871,0.012974,0.018068,,,,,
28,2013-12-31,1848.36,9.38167,4.23022,7.72114,0.0992,0.105044,,,,,
29,2013-09-30,1681.55,8.89299,3.75821,6.89212,0.04686,0.05244,,,,,
30,2013-06-30,1606.28,8.59064,3.54522,6.49887,0.023636,0.029091,,,,,
31,2013-03-31,1569.19,7.93879,3.44027,6.28689,0.100267,0.106044,,,,,
32,2012-12-31,1426.19,8.79008,3.03563,5.58825,-0.010051,-0.003814,,,,,
33,2012-09-30,1440.67,7.79428,3.0766,5.61347,0.057636,0.063529,,,,,
34,2012-06-30,1362.16,7.44559,2.85444,5.21842,-0.03288,-0.02752,,,,,
35,2012-03-31,1408.47,7.01234,2.98548,5.39439,0.119958,0.125802,,,,,
36,2011-12-31,1257.61,7.23828,2.5586,4.67986,0.111532,0.11813,,,,,
37,2011-09-30,1131.42,6.48517,2.20153,4.07978,-0.143279,-0.138691,,,,,
38,2011-06-30,1320.64,6.4723,2.73696,4.89774,-0.003915,0.000979,,,,,
39,2011-03-31,1325.83,6.15243,2.75164,4.89197,0.054221,0.059187,,,,,
40,2010-12-31,1257.64,6.02566,2.55869,4.56273,0.102033,0.107562,,,,,
41,2010-09-30,1141.2,5.64938,2.2292,4.0225,0.107198,0.11293,,,,,
42,2010-06-30,1030.71,5.56062,1.91655,3.51286,-0.118622,-0.114262,,,,,
43,2010-03-31,1169.43,5.44059,2.30908,4.09503,0.048722,0.053849,,,,,
44,2009-12-31,1115.1,5.60609,2.15535,3.83469,0.054887,0.06033,,,,,
45,2009-09-30,1057.08,5.30963,1.99117,3.55961,0.14985,0.156025,,,,,
46,2009-06-30,919.32,5.40216,1.60136,2.94421,0.152218,0.159229,,,,,
47,2009-03-31,797.87,5.95703,1.2577,2.40245,-0.116668,-0.110113,,,,,
48,2008-12-31,903.25,7.14752,1.55589,2.82346,-0.225582,-0.219442,,,,,
49,2008-09-30,1166.36,7.03074,2.3004,3.89836,-0.088781,-0.083705,,,,,
50,2008-06-30,1280.0,7.09584,2.62196,4.34584,-0.032282,-0.027272,,,,,
51,2008-03-31,1322.7,7.08497,2.74278,4.49572,-0.099199,-0.094456,,,,,
52,2007-12-31,1468.36,8.71842,3.15495,5.06897,-0.038245,-0.032573,,,,,
53,2007-09-30,1526.75,6.8798,3.32018,5.27331,0.015565,0.020293,,,,,
54,2007-06-30,1503.35,6.66419,3.25396,5.14853,0.058056,0.062766,,,,,
55,2007-03-31,1420.86,6.50741,3.02054,4.78541,0.001805,0.006388,,,,,
56,2006-12-31,1418.3,6.7448,3.0133,4.74869,0.061721,0.066888,,,,,
57,2006-09-30,1335.85,6.05458,2.77999,4.38828,0.051685,0.056634,,,,,
58,2006-06-30,1270.2,5.98508,2.59423,4.09947,-0.019022,-0.014437,,,,,
59,2006-03-31,1294.83,5.89045,2.66392,4.17417,0.037283,0.042061,,,,,
60,2005-12-31,1248.29,6.02263,2.53223,3.96532,0.015853,0.020829,,,,,
61,2005-09-30,1228.81,5.43242,2.47711,3.86401,0.031461,0.036048,,,,,
62,2005-06-30,1191.33,5.36367,2.37105,3.69477,0.009097,0.013689,,,,,
63,2005-03-31,1180.59,5.34377,2.34066,3.63137,-0.025852,-0.021487,,,,,
64,2004-12-31,1211.92,5.29723,2.42932,3.73307,0.087333,0.092276,,,,,
65,2004-09-30,1114.58,4.87013,2.15388,3.33322,-0.023018,-0.018688,,,,,
66,2004-06-30,1140.84,4.65489,2.22818,3.41575,0.01299,0.017209,,,,,
67,2004-03-31,1126.21,4.55397,2.18679,3.34104,0.012852,0.01692,,,,,
68,2003-12-31,1111.92,4.98655,2.14635,3.26881,0.116419,0.121692,,,,,
69,2003-09-30,995.97,4.27292,1.81825,2.80569,0.022032,0.026416,,,,,
70,2003-06-30,974.5,4.05814,1.7575,2.70775,0.148931,0.153896,,,,,
71,2003-03-31,848.18,3.91436,1.40006,2.21324,-0.035962,-0.031505,,,,,
72,2002-12-31,879.82,4.24752,1.48959,2.31777,0.079163,0.084372,,,,,
73,2002-09-30,815.28,3.88868,1.30696,2.05962,-0.176327,-0.172779,,,,,
74,2002-06-30,989.81,4.22688,1.80082,2.69867,-0.137338,-0.133907,,,,,
75,2002-03-31,1147.39,3.75797,2.24672,3.27052,-0.000601,0.002736,,,,,
76,2001-12-31,1148.08,3.97375,2.24867,3.25887,0.102926,0.106842,,,,,
77,2001-09-30,1040.94,3.81381,1.9455,2.84777,-0.149851,-0.1468,,,,,
78,2001-06-30,1224.42,3.81693,2.46469,3.50981,0.055234,0.058508,,,,,
79,2001-03-31,1160.33,3.771,2.28333,3.26053,-0.121149,-0.118561,,,,,
80,2000-12-31,1320.28,3.96731,2.73594,3.83361,-0.080911,-0.078251,,,,,
81,2000-09-30,1436.51,4.1788,3.06483,4.24396,-0.012436,-0.009628,,,,,
82,2000-06-30,1454.6,4.10529,3.11602,4.29494,-0.029348,-0.026577,,,,,
83,2000-03-31,1498.58,4.07049,3.24046,4.4395,0.019963,0.022927,,,,,
84,1999-12-31,1469.25,4.02004,3.15747,4.31759,0.145426,0.148764,,,,,
85,1999-09-30,1282.71,4.44857,2.62963,3.62896,-0.065564,-0.062443,,,,,
86,1999-06-30,1372.71,4.16597,2.8843,3.93726,0.067119,0.070471,,,,,
87,1999-03-31,1286.37,3.99936,2.63998,3.61223,0.046484,0.049815,,,,,
88,1998-12-31,1229.23,3.9645,2.4783,3.39338,0.208671,0.212928,,,,,
89,1998-09-30,1017.01,4.23943,1.87779,2.62212,-0.103039,-0.099483,,,,,
90,1998-06-30,1133.84,4.11126,2.20838,3.02227,0.029126,0.032956,,,,,
91,1998-03-31,1101.75,3.7362,2.11757,2.89394,0.135321,0.139471,,,,,
92,1997-12-31,970.43,3.92596,1.74598,2.41733,0.024438,0.028692,,,,,
93,1997-09-30,947.28,3.98975,1.68048,2.32201,0.070204,0.074817,,,,,
94,1997-06-30,885.14,3.84968,1.50464,2.09077,0.169088,0.174549,,,,,
95,1997-03-31,757.12,3.60177,1.14239,1.63145,0.022113,0.026792,,,,,
96,1996-12-31,740.74,3.75576,1.09604,1.56279,0.077738,0.083307,,,,,
97,1996-09-30,687.31,3.87779,0.94485,1.36571,0.024872,0.030895,,,,,
98,1996-06-30,670.63,3.69358,0.89765,1.29481,0.038931,0.044761,,,,,
99,1996-03-31,645.5,3.40596,0.82654,1.1965,0.048009,0.053591,,,,,
100,1995-12-31,615.93,3.50591,0.74287,1.08477,0.053935,0.060123,,,,,
101,1995-09-30,584.41,3.48241,0.65368,0.96653,0.072804,0.079439,,,,,
102,1995-06-30,544.75,3.58899,0.54145,0.82181,0.087955,0.095431,,,,,
103,1995-03-31,500.71,3.13284,0.41684,0.6631,0.09023,0.097361,,,,,
104,1994-12-31,459.27,3.31597,0.29958,0.51555,-0.007392,-0.000205,,,,,
105,1994-09-30,462.69,3.25883,0.30925,0.51586,0.041461,0.048831,,,,,
106,1994-06-30,444.27,3.42074,0.25713,0.44528,-0.003365,0.004233,,,,,
107,1994-03-31,445.77,3.14538,0.26138,0.43919,-0.044335,-0.037904,,,,,
108,1993-12-31,466.45,3.07875,0.31989,0.49589,0.016386,0.023153,,,,,
109,1993-09-30,458.93,3.17271,0.29861,0.46204,0.018645,0.025786,,,,,
110,1993-06-30,450.53,3.26269,0.27484,0.42529,-0.002524,0.004822,,,,,
111,1993-03-31,451.67,3.00831,0.27807,0.41845,0.03663,0.043675,,,,,
112,1992-12-31,435.71,3.02127,0.23291,0.35909,0.042867,0.050329,,,,,
113,1992-09-30,417.8,3.19911,0.18223,0.29397,0.023668,0.031526,,,,,
114,1992-06-30,408.14,3.27078,0.1549,0.25442,0.011023,0.019088,,,,,
115,1992-03-31,403.69,2.90588,0.1423,0.23092,-0.032127,-0.025273,,,,,
116,1991-12-31,417.09,3.00226,0.18022,0.26284,0.075362,0.083728,,,,,
117,1991-09-30,387.86,3.07212,0.09751,0.16527,0.044994,0.053331,,,,,
118,1991-06-30,371.16,3.21557,0.05025,0.10628,-0.01082,-0.002367,,,,,
119,1991-03-31,375.22,2.75359,0.06174,0.1089,0.136273,0.145132,,,,,
120,1990-12-31,330.22,3.06721,-0.06559,-0.03164,0.078974,0.089474,,,,,
121,1990-09-30,306.05,2.94031,-0.13398,-0.11117,-0.145159,-0.137583,,,,,
122,1990-06-30,358.02,3.14108,0.01307,0.03063,0.053186,0.062704,,,,,
123,1990-03-31,339.94,2.73218,-0.03809,-0.03018,-0.038087,-0.030182,,,,,
