Date;Factor
16.06.2016; 1.00 
17.09.2018; 0.99 
01.01.2019; 0.50 
01.04.2019; 0.42 
01.07.2019; 0.27 
05.08.2019; 0.25 
03.09.2019; 0.23 
01.10.2019; 0.22 
01.11.2019; 0.20 
02.12.2019; 0.19 
02.01.2020; 0.17 
01.02.2020; 0.16 
02.03.2020; 0.14 
01.04.2020; 0.14 
01.05.2020; 0.13 
01.06.2020; 0.13 
