Date;Factor
24.02.2016; 1.00 
17.08.2018; 0.80 
17.10.2018; 0.75 
17.12.2018; 0.73 
17.01.2019; 0.70 
17.03.2019; 0.65 
17.07.2019; 0.57 
17.10.2019; 0.53 
17.12.2019; 0.52 
17.03.2020; 0.41 
17.05.2020; 0.37 
